IDTree	Species	DBH	Height	X	Y	BasalArea	Volume	Quadrant
488	Copper beech	10.4	14.7	419257.63	5851600.41	0.008	0.055	3
489	Common pine	43.2	29.8	419259.83	5851603.04	0.147	1.986	3
490	Common pine	33.1	28.9	419264.95	5851602.01	0.086	1.129	3
491	Common pine	38.2	29.4	419265.93	5851603.58	0.115	1.517	3
492	Copper beech	11.6	15.7	419266.62	5851601.80	0.011	0.075	3
493	Copper beech	22.3	21.0	419269.40	5851603.03	0.039	0.397	3
494	Copper beech	14.6	17.7	419270.86	5851606.10	0.017	0.140	3
495	Common pine	35.2	29.1	419270.04	5851604.95	0.097	1.270	3
496	Copper beech	14.8	17.9	41926.88	5851605.21	0.017	0.144	3
497	Copper beech	18.7	19.7	419274.37	5851604.80	0.027	0.257	3
498	Common pine	43.5	29.8	419270.61	5851599.29	0.149	2.011	3
499	Common pine	31.1	28.7	419276.06	5851601.92	0.076	0.983	3
500	Common pine	32.2	28.8	419280.95	5851600.39	0.081	1.061	3
501	Copper beech	16.2	18.6	419279.39	5851606.73	0.021	0.183	3
502	Copper beech	12.4	16.3	419280.31	5851606.91	0.012	0.090	3
503	Common pine	30.7	28.6	419281.29	5851609.01	0.074	0.945	3
504	Common pine	31.6	28.8	419283.01	5851608.36	0.078	1.010	3
505	Common pine	43.2	29.8	419284.02	5851605.24	0.147	1.986	3
506	Copper beech	9.9	14.2	419285.32	5851610.97	0.008	0.042	3
507	Copper beech	16.2	18.6	419285.53	5851610.14	0.021	0.183	3
508	Copper beech	15.8	18.4	419287.25	5851609.41	0.020	0.168	3
509	Copper beech	10.9	15.1	419290.05	5851610.07	0.009	0.059	3
510	Common pine	32.3	28.8	419290.61	5851603.94	0.082	1.066	3
511	Copper beech	16.0	18.5	419290.78	5851603.06	0.020	0.173	3
512	Copper beech	7.0	10.7	419292.14	5851601.06	0.004	0.006	3
513	Common pine	42.1	29.7	419293.35	5851599.38	0.139	1.881	3
514	Copper beech	14.4	17.6	419293.96	5851598.66	0.016	0.135	3
515	Copper beech	17.4	19.2	419291.07	5851597.65	0.024	0.214	3
516	Copper beech	14.9	17.9	419286.77	5851600.45	0.017	0.146	3
517	Common pine	40.6	29.6	419282.91	5851601.02	0.129	1.727	3
518	Copper beech	8.4	12.5	419280.46	5851598.57	0.006	0.023	3
519	Copper beech	16.5	18.8	419286.05	5851599.00	0.021	0.191	3
520	Common pine	39.2	29.5	419286.82	5851595.79	0.121	1.606	3
521	Common pine	41.9	29.7	419280.30	5851596.30	0.138	1.846	3
522	Common pine	31.1	28.7	419278.30	5851598.18	0.076	0.983	3
523	Copper beech	20.5	20.4	419277.14	5851595.63	0.033	0.320	3
524	Common pine	31.2	28.7	419275.61	5851594.36	0.076	0.989	3
525	Copper beech	23.2	21.2	419273.56	5851590.13	0.042	0.430	3
526	Copper beech	19.3	20.0	419270.54	5851597.61	0.029	0.282	3
527	Common pine	30.8	28.7	419273.59	5851597.59	0.075	0.950	3
528	Copper beech	10.3	14.6	419271.24	5851594.10	0.008	0.054	3
529	Common pine	41.8	29.7	419269.84	5851594.94	0.137	1.838	3
530	Copper beech	14.9	17.9	419268.89	5851592.69	0.017	0.146	3
531	Copper beech	14.9	17.9	419264.91	5851593.67	0.017	0.146	3
532	Copper beech	13.9	17.3	419260.49	5851593.66	0.015	0.119	3
533	Common pine	37.8	29.4	419264.44	5851592.84	0.112	1.472	3
534	Copper beech	14.4	17.6	419262.00	5851597.58	0.016	0.135	3
535	Copper beech	16.9	18.9	419260.12	5851597.10	0.022	0.200	3
536	Common pine	23.2	27.4	419260.95	5851591.57	0.042	0.510	3
537	Copper beech	10.7	14.9	419259.52	5851591.67	0.009	0.060	3
538	Common pine	40.0	29.6	419255.85	5851589.70	0.126	1.658	3
539	Copper beech	14.2	17.5	419253.82	5851594.96	0.016	0.131	3
540	Common pine	37.7	29.4	419252.70	5851589.75	0.112	1.465	3
541	Copper beech	10.4	14.7	419254.38	5851587.63	0.008	0.055	3
542	Copper beech	18.7	19.7	419252.50	5851586.86	0.027	0.257	3
543	Common pine	30.8	28.7	419249.01	5851590.44	0.075	0.950	3
544	Copper beech	16.1	18.6	419248.86	5851593.32	0.020	0.181	3
545	Copper beech	18.6	19.7	419246.83	5851587.51	0.027	0.254	3
546	Copper beech	11.9	15.9	419240.96	5851585.98	0.011	0.080	3
547	Copper beech	19.1	19.9	419250.55	5851578.97	0.029	0.276	3
548	Common spruce	16.5	17.2	419250.06	5851575.69	0.021	0.190	3
549	Copper beech	13.9	17.3	419252.86	5851578.46	0.015	0.119	3
550	Common pine	33.9	29.0	419253.76	5851582.00	0.090	1.156	3
551	Common pine	37.5	29.4	419250.50	5851578.33	0.110	1.452	3
552	Copper beech	14.4	17.6	419260.80	5851577.12	0.016	0.135	3
553	Copper beech	14.1	17.5	419260.02	5851577.97	0.016	0.129	3
554	Common pine	31.7	28.8	419264.40	5851578.97	0.079	1.015	3
555	Copper beech	15.1	18.0	419260.21	5851581.07	0.018	0.151	3
556	Common pine	41.5	29.7	419261.91	5851583.41	0.135	1.815	3
557	Copper beech	17.0	19.0	419262.86	5851584.33	0.023	0.197	3
558	Copper beech	11.8	15.9	419265.60	5851584.28	0.011	0.079	3
559	Copper beech	17.1	19.0	419267.22	5851580.30	0.023	0.206	3
560	Copper beech	8.4	12.5	419269.58	5851582.04	0.006	0.023	3
561	Common pine	46.5	30.0	419260.96	5851583.26	0.170	2.312	3
562	Copper beech	11.2	15.4	419270.05	5851584.09	0.010	0.068	3
563	Copper beech	8.2	12.3	419270.52	5851584.17	0.005	0.020	3
564	Copper beech	8.0	12.0	419273.63	5851582.31	0.005	0.017	3
565	Copper beech	18.7	19.7	419273.17	5851583.71	0.027	0.257	3
566	Copper beech	20.3	20.3	419277.54	5851585.02	0.032	0.313	3
567	Copper beech	8.3	12.4	419278.74	5851588.50	0.005	0.022	3
568	Common pine	38.5	29.4	419278.59	5851588.98	0.116	1.538	3
569	Copper beech	14.6	17.7	419281.54	5851586.53	0.017	0.140	3
570	Common pine	35.0	29.1	419282.77	5851580.48	0.096	1.253	3
571	Copper beech	12.2	16.2	419284.23	5851587.57	0.012	0.086	3
572	Common pine	43.8	29.8	419283.98	5851590.71	0.151	2.035	3
573	Common pine	40.8	29.6	419290.26	5851587.40	0.131	1.741	3
574	Copper beech	10.8	15.0	419291.43	5851587.06	0.009	0.057	3
575	Common pine	40.5	29.6	419292.66	5851588.32	0.129	1.720	3
577	Copper beech	14.6	17.7	419291.98	5851591.35	0.017	0.140	3
578	Copper beech	7.3	11.1	419290.42	5851589.17	0.004	0.008	3
580	Copper beech	21.9	20.8	419296.85	5851586.39	0.038	0.375	3
581	Common pine	41.7	29.7	419298.28	5851580.13	0.137	1.831	3
582	Common pine	26.4	28.0	419291.30	5851577.99	0.055	0.671	3
583	Copper beech	24.6	21.6	419287.84	5851584.17	0.048	0.492	3
584	Copper beech	19.3	20.0	419288.02	5851570.93	0.029	0.282	3
585	Sessile oak	14.0	17.4	419287.61	5851578.90	0.015	0.124	3
586	Common pine	34.9	29.1	419287.94	5851577.00	0.096	1.234	3
587	Common pine	35.8	29.2	419285.99	5851580.49	0.101	1.307	3
589	Copper beech	20.4	20.3	419284.75	5851578.00	0.033	0.316	3
590	Common pine	28.2	28.3	419283.78	5851578.48	0.062	0.785	3
591	Common pine	34.0	29.0	419282.64	5851575.72	0.091	1.179	3
592	Copper beech	14.3	17.6	419282.44	5851577.32	0.016	0.133	3
593	Copper beech	15.1	18.0	419281.66	5851578.60	0.018	0.151	3
